,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,U,Southampton,yes,True
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,U,Southampton,yes,False
9,1,2,female,14.0,1,0,30.0708,C,Second,girl,False,U,Cherbourg,yes,False
10,1,3,female,4.0,1,1,16.7,S,Third,girl,False,G,Southampton,yes,False
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,U,Southampton,yes,True
17,1,2,male,35.0,0,0,13.0,S,Second,man,True,U,Southampton,yes,True
19,1,3,female,20.0,0,0,7.225,C,Third,woman,False,U,Cherbourg,yes,True
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
22,1,3,female,15.0,0,0,8.0292,Q,Third,girl,False,U,Queenstown,yes,True
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,U,Southampton,yes,False
28,1,3,female,20.0,0,0,7.8792,Q,Third,woman,False,U,Queenstown,yes,True
31,1,1,female,21.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
32,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
36,1,3,male,26.0,0,0,7.2292,C,Third,man,True,U,Cherbourg,yes,True
39,1,3,female,14.0,1,0,11.2417,C,Third,girl,False,U,Cherbourg,yes,False
43,1,2,female,3.0,1,2,41.5792,C,Second,girl,False,U,Cherbourg,yes,False
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,U,Queenstown,yes,True
47,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
55,1,1,male,38.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,U,Southampton,yes,True
58,1,2,female,5.0,1,2,27.75,S,Second,girl,False,U,Southampton,yes,False
61,1,1,female,38.0,0,0,80.0,U,First,woman,False,B,Unknown,yes,True
65,1,3,male,5.0,1,1,15.2458,C,Third,boy,False,U,Cherbourg,yes,False
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,U,Southampton,yes,False
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,U,Southampton,yes,True
78,1,2,male,0.83,0,2,29.0,S,Second,boy,False,U,Southampton,yes,False
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,U,Southampton,yes,True
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,U,Southampton,yes,True
82,1,3,female,20.0,0,0,7.7875,Q,Third,woman,False,U,Queenstown,yes,True
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,U,Southampton,yes,True
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,U,Southampton,yes,False
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,U,Southampton,yes,False
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,U,Southampton,yes,True
107,1,3,male,26.0,0,0,7.775,S,Third,man,True,U,Southampton,yes,True
109,1,3,female,22.0,1,0,24.15,Q,Third,woman,False,U,Queenstown,yes,False
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
125,1,3,male,12.0,1,0,11.2417,C,Third,boy,False,U,Cherbourg,yes,False
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,U,Southampton,yes,True
128,1,3,female,12.0,1,1,22.3583,C,Third,girl,False,F,Cherbourg,yes,False
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,U,Southampton,yes,True
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,U,Southampton,yes,False
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,U,Southampton,yes,True
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,U,Queenstown,yes,True
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,U,Southampton,yes,True
165,1,3,male,9.0,0,2,20.525,S,Third,boy,False,U,Southampton,yes,False
166,1,1,female,24.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
172,1,3,female,1.0,1,1,11.1333,S,Third,girl,False,U,Southampton,yes,False
183,1,2,male,1.0,2,1,39.0,S,Second,boy,False,F,Southampton,yes,False
184,1,3,female,4.0,0,2,22.025,S,Third,girl,False,U,Southampton,yes,False
186,1,3,female,21.0,1,0,15.5,Q,Third,woman,False,U,Queenstown,yes,False
187,1,1,male,45.0,0,0,26.55,S,First,man,True,U,Southampton,yes,True
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,U,Southampton,yes,False
193,1,2,male,3.0,1,1,26.0,S,Second,boy,False,F,Southampton,yes,False
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
198,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,U,Southampton,yes,True
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,U,Cherbourg,yes,True
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,U,Southampton,yes,True
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,U,Southampton,yes,True
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,U,Southampton,yes,True
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,U,Southampton,yes,True
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
233,1,3,female,5.0,4,2,31.3875,S,Third,girl,False,U,Southampton,yes,False
237,1,2,female,8.0,0,2,26.25,S,Second,girl,False,U,Southampton,yes,False
241,1,3,female,21.0,1,0,15.5,Q,Third,woman,False,U,Queenstown,yes,False
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,U,Southampton,yes,False
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,U,Cherbourg,yes,False
256,1,1,female,28.0,0,0,79.2,C,First,woman,False,U,Cherbourg,yes,True
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,U,Cherbourg,yes,True
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,U,Southampton,yes,False
261,1,3,male,3.0,4,2,31.3875,S,Third,boy,False,U,Southampton,yes,False
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,U,Southampton,yes,False
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,U,Southampton,yes,True
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,U,Southampton,yes,False
274,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,U,Southampton,yes,False
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,U,Southampton,yes,True
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,U,Southampton,yes,True
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,U,Southampton,yes,True
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,U,Southampton,yes,True
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
298,1,1,male,38.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
300,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
301,1,3,male,8.0,2,0,23.25,Q,Third,boy,False,U,Queenstown,yes,False
303,1,2,female,32.0,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True
305,1,1,male,0.92,1,2,151.55,S,First,boy,False,C,Southampton,yes,False
306,1,1,female,29.0,0,0,110.8833,C,First,woman,False,U,Cherbourg,yes,True
307,1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True
310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
311,1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,U,Southampton,yes,True
316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,U,Queenstown,yes,True
323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,U,Southampton,yes,False
325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,U,Southampton,yes,False
329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
330,1,3,female,13.0,2,0,23.25,Q,Third,girl,False,U,Queenstown,yes,False
334,1,1,female,22.0,1,0,133.65,S,First,woman,False,U,Southampton,yes,False
337,1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,U,Southampton,yes,True
340,1,2,male,2.0,1,1,26.0,S,Second,boy,False,F,Southampton,yes,False
341,1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
345,1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True
346,1,2,female,40.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
347,1,3,female,21.0,1,0,16.1,S,Third,woman,False,U,Southampton,yes,False
348,1,3,male,3.0,1,1,15.9,S,Third,boy,False,U,Southampton,yes,False
356,1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
358,1,3,female,20.0,0,0,7.8792,Q,Third,woman,False,U,Queenstown,yes,True
359,1,3,female,20.0,0,0,7.8792,Q,Third,woman,False,U,Queenstown,yes,True
366,1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
367,1,3,female,20.0,0,0,7.2292,C,Third,woman,False,U,Cherbourg,yes,True
368,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
369,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
370,1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
375,1,1,female,41.0,1,0,82.1708,C,First,woman,False,U,Cherbourg,yes,False
376,1,3,female,22.0,0,0,7.25,S,Third,woman,False,U,Southampton,yes,True
380,1,1,female,42.0,0,0,227.525,C,First,woman,False,U,Cherbourg,yes,True
381,1,3,female,1.0,0,2,15.7417,C,Third,girl,False,U,Cherbourg,yes,False
383,1,1,female,35.0,1,0,52.0,S,First,woman,False,U,Southampton,yes,False
387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
389,1,2,female,17.0,0,0,12.0,C,Second,woman,False,U,Cherbourg,yes,True
390,1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False
391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,U,Southampton,yes,True
393,1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
394,1,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False
399,1,2,female,28.0,0,0,12.65,S,Second,woman,False,U,Southampton,yes,True
400,1,3,male,39.0,0,0,7.925,S,Third,man,True,U,Southampton,yes,True
407,1,2,male,3.0,1,1,18.75,S,Second,boy,False,U,Southampton,yes,False
412,1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False
414,1,3,male,44.0,0,0,7.925,S,Third,man,True,U,Southampton,yes,True
416,1,2,female,34.0,1,1,32.5,S,Second,woman,False,U,Southampton,yes,False
417,1,2,female,18.0,0,2,13.0,S,Second,woman,False,U,Southampton,yes,False
426,1,2,female,28.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
427,1,2,female,19.0,0,0,26.0,S,Second,woman,False,U,Southampton,yes,True
429,1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
431,1,3,female,21.0,1,0,16.1,S,Third,woman,False,U,Southampton,yes,False
432,1,2,female,42.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
435,1,1,female,14.0,1,2,120.0,S,First,girl,False,B,Southampton,yes,False
