,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
437,1,2,female,24.0,2,3,18.75,S,Second,woman,False,U,Southampton,yes,False
440,1,2,female,45.0,1,1,26.25,S,Second,woman,False,U,Southampton,yes,False
443,1,2,female,28.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
444,1,3,male,26.0,0,0,8.1125,S,Third,man,True,U,Southampton,yes,True
445,1,1,male,4.0,0,2,81.8583,S,First,boy,False,A,Southampton,yes,False
446,1,2,female,13.0,0,1,19.5,S,Second,girl,False,U,Southampton,yes,False
447,1,1,male,34.0,0,0,26.55,S,First,man,True,U,Southampton,yes,True
448,1,3,female,5.0,2,1,19.2583,C,Third,girl,False,U,Cherbourg,yes,False
449,1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
453,1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
455,1,3,male,29.0,0,0,7.8958,C,Third,man,True,U,Cherbourg,yes,True
457,1,1,female,38.0,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False
458,1,2,female,50.0,0,0,10.5,S,Second,woman,False,U,Southampton,yes,True
460,1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
469,1,3,female,0.75,2,1,19.2583,C,Third,girl,False,U,Cherbourg,yes,False
472,1,2,female,33.0,1,2,27.75,S,Second,woman,False,U,Southampton,yes,False
473,1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True
479,1,3,female,2.0,0,1,12.2875,S,Third,girl,False,U,Southampton,yes,False
483,1,3,female,63.0,0,0,9.5875,S,Third,woman,False,U,Southampton,yes,True
484,1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False
486,1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False
489,1,3,male,9.0,1,1,15.9,S,Third,boy,False,U,Southampton,yes,False
496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
504,1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
506,1,2,female,33.0,0,2,26.0,S,Second,woman,False,U,Southampton,yes,False
507,1,1,male,38.0,0,0,26.55,S,First,man,True,U,Southampton,yes,True
509,1,3,male,26.0,0,0,56.4958,S,Third,man,True,U,Southampton,yes,True
510,1,3,male,29.0,0,0,7.75,Q,Third,man,True,U,Queenstown,yes,True
512,1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
513,1,1,female,54.0,1,0,59.4,C,First,woman,False,U,Cherbourg,yes,False
516,1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
518,1,2,female,36.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
520,1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,U,Southampton,yes,True
530,1,2,female,2.0,1,1,26.0,S,Second,girl,False,U,Southampton,yes,False
533,1,3,female,12.0,0,2,22.3583,C,Third,girl,False,U,Cherbourg,yes,False
535,1,2,female,7.0,0,2,26.25,S,Second,girl,False,U,Southampton,yes,False
537,1,1,female,30.0,0,0,106.425,C,First,woman,False,U,Cherbourg,yes,True
539,1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False
540,1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False
543,1,2,male,32.0,1,0,26.0,S,Second,man,True,U,Southampton,yes,False
546,1,2,female,19.0,1,0,26.0,S,Second,woman,False,U,Southampton,yes,False
547,1,2,male,35.0,0,0,13.8625,C,Second,man,True,U,Cherbourg,yes,True
549,1,2,male,8.0,1,1,36.75,S,Second,boy,False,U,Southampton,yes,False
550,1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False
553,1,3,male,22.0,0,0,7.225,C,Third,man,True,U,Cherbourg,yes,True
554,1,3,female,22.0,0,0,7.775,S,Third,woman,False,U,Southampton,yes,True
556,1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False
558,1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False
559,1,3,female,36.0,1,0,17.4,S,Third,woman,False,U,Southampton,yes,False
569,1,3,male,32.0,0,0,7.8542,S,Third,man,True,U,Southampton,yes,True
570,1,2,male,62.0,0,0,10.5,S,Second,man,True,U,Southampton,yes,True
571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
572,1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True
573,1,3,female,20.0,0,0,7.75,Q,Third,woman,False,U,Queenstown,yes,True
576,1,2,female,34.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
577,1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False
579,1,3,male,32.0,0,0,7.925,S,Third,man,True,U,Southampton,yes,True
580,1,2,female,25.0,1,1,30.0,S,Second,woman,False,U,Southampton,yes,False
581,1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
585,1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False
587,1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False
591,1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
596,1,2,female,32.0,0,0,33.0,S,Second,woman,False,U,Southampton,yes,True
599,1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False
600,1,2,female,24.0,2,1,27.0,S,Second,woman,False,U,Southampton,yes,False
604,1,1,male,35.0,0,0,26.55,C,First,man,True,U,Cherbourg,yes,True
607,1,1,male,27.0,0,0,30.5,S,First,man,True,U,Southampton,yes,True
608,1,2,female,22.0,1,2,41.5792,C,Second,woman,False,U,Cherbourg,yes,False
609,1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True
612,1,3,female,21.0,1,0,15.5,Q,Third,woman,False,U,Queenstown,yes,False
615,1,2,female,24.0,1,2,65.0,S,Second,woman,False,U,Southampton,yes,False
618,1,2,female,4.0,2,1,39.0,S,Second,girl,False,F,Southampton,yes,False
621,1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False
622,1,3,male,20.0,1,1,15.7417,C,Third,man,True,U,Cherbourg,yes,False
627,1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True
630,1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True
632,1,1,male,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True
635,1,2,female,28.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
641,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
643,1,3,male,28.0,0,0,56.4958,S,Third,man,True,U,Southampton,yes,True
644,1,3,female,0.75,2,1,19.2583,C,Third,girl,False,U,Cherbourg,yes,False
645,1,1,male,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False
647,1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True
649,1,3,female,23.0,0,0,7.55,S,Third,woman,False,U,Southampton,yes,True
651,1,2,female,18.0,0,1,23.0,S,Second,woman,False,U,Southampton,yes,False
653,1,3,female,20.0,0,0,7.8292,Q,Third,woman,False,U,Queenstown,yes,True
660,1,1,male,50.0,2,0,133.65,S,First,man,True,U,Southampton,yes,False
664,1,3,male,20.0,1,0,7.925,S,Third,man,True,U,Southampton,yes,False
669,1,1,female,38.0,1,0,52.0,S,First,woman,False,C,Southampton,yes,False
670,1,2,female,40.0,1,1,39.0,S,Second,woman,False,U,Southampton,yes,False
673,1,2,male,31.0,0,0,13.0,S,Second,man,True,U,Southampton,yes,True
677,1,3,female,18.0,0,0,9.8417,S,Third,woman,False,U,Southampton,yes,True
679,1,1,male,36.0,0,1,512.3292,C,First,man,True,B,Cherbourg,yes,False
681,1,1,male,27.0,0,0,76.7292,C,First,man,True,D,Cherbourg,yes,True
689,1,1,female,15.0,0,1,211.3375,S,First,girl,False,B,Southampton,yes,False
690,1,1,male,31.0,1,0,57.0,S,First,man,True,B,Southampton,yes,False
691,1,3,female,4.0,0,1,13.4167,C,Third,girl,False,U,Cherbourg,yes,False
692,1,3,male,28.0,0,0,56.4958,S,Third,man,True,U,Southampton,yes,True
697,1,3,female,20.0,0,0,7.7333,Q,Third,woman,False,U,Queenstown,yes,True
700,1,1,female,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False
701,1,1,male,35.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
706,1,2,female,45.0,0,0,13.5,S,Second,woman,False,U,Southampton,yes,True
707,1,1,male,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
708,1,1,female,22.0,0,0,151.55,S,First,woman,False,U,Southampton,yes,True
709,1,3,male,5.0,1,1,15.2458,C,Third,boy,False,U,Cherbourg,yes,False
710,1,1,female,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True
712,1,1,male,48.0,1,0,52.0,S,First,man,True,C,Southampton,yes,False
716,1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
717,1,2,female,27.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True
720,1,2,female,6.0,0,1,33.0,S,Second,girl,False,U,Southampton,yes,False
724,1,1,male,27.0,1,0,53.1,S,First,man,True,E,Southampton,yes,False
726,1,2,female,30.0,3,0,21.0,S,Second,woman,False,U,Southampton,yes,False
727,1,3,female,20.0,0,0,7.7375,Q,Third,woman,False,U,Queenstown,yes,True
730,1,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True
737,1,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True
740,1,1,male,38.0,0,0,30.0,S,First,man,True,D,Southampton,yes,True
742,1,1,female,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
744,1,3,male,31.0,0,0,7.925,S,Third,man,True,U,Southampton,yes,True
747,1,2,female,30.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
750,1,2,female,4.0,1,1,23.0,S,Second,girl,False,U,Southampton,yes,False
751,1,3,male,6.0,0,1,12.475,S,Third,boy,False,E,Southampton,yes,False
754,1,2,female,48.0,1,2,65.0,S,Second,woman,False,U,Southampton,yes,False
755,1,2,male,0.67,1,1,14.5,S,Second,boy,False,U,Southampton,yes,False
759,1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
762,1,3,male,20.0,0,0,7.2292,C,Third,man,True,U,Cherbourg,yes,True
763,1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
765,1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
774,1,2,female,54.0,1,3,23.0,S,Second,woman,False,U,Southampton,yes,False
777,1,3,female,5.0,0,0,12.475,S,Third,girl,False,U,Southampton,yes,True
779,1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False
780,1,3,female,13.0,0,0,7.2292,C,Third,girl,False,U,Cherbourg,yes,True
781,1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
786,1,3,female,18.0,0,0,7.4958,S,Third,woman,False,U,Southampton,yes,True
788,1,3,male,1.0,1,2,20.575,S,Third,boy,False,U,Southampton,yes,False
796,1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
797,1,3,female,31.0,0,0,8.6833,S,Third,woman,False,U,Southampton,yes,True
801,1,2,female,31.0,1,1,26.25,S,Second,woman,False,U,Southampton,yes,False
802,1,1,male,11.0,1,2,120.0,S,First,boy,False,B,Southampton,yes,False
803,1,3,male,0.42,0,1,8.5167,C,Third,boy,False,U,Cherbourg,yes,False
804,1,3,male,27.0,0,0,6.975,S,Third,man,True,U,Southampton,yes,True
809,1,1,female,33.0,1,0,53.1,S,First,woman,False,E,Southampton,yes,False
820,1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
821,1,3,male,27.0,0,0,8.6625,S,Third,man,True,U,Southampton,yes,True
823,1,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,yes,False
827,1,2,male,1.0,0,2,37.0042,C,Second,boy,False,U,Cherbourg,yes,False
828,1,3,male,26.0,0,0,7.75,Q,Third,man,True,U,Queenstown,yes,True
829,1,1,female,62.0,0,0,80.0,U,First,woman,False,B,Unknown,yes,True
830,1,3,female,15.0,1,0,14.4542,C,Third,girl,False,U,Cherbourg,yes,False
831,1,2,male,0.83,1,1,18.75,S,Second,boy,False,U,Southampton,yes,False
835,1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False
838,1,3,male,32.0,0,0,56.4958,S,Third,man,True,U,Southampton,yes,True
839,1,1,male,38.0,0,0,29.7,C,First,man,True,C,Cherbourg,yes,True
842,1,1,female,30.0,0,0,31.0,C,First,woman,False,U,Cherbourg,yes,True
849,1,1,female,42.0,1,0,89.1042,C,First,woman,False,C,Cherbourg,yes,False
853,1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False
855,1,3,female,18.0,0,1,9.35,S,Third,woman,False,U,Southampton,yes,False
856,1,1,female,45.0,1,1,164.8667,S,First,woman,False,U,Southampton,yes,False
857,1,1,male,51.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
858,1,3,female,24.0,0,3,19.2583,C,Third,woman,False,U,Cherbourg,yes,False
862,1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
865,1,2,female,42.0,0,0,13.0,S,Second,woman,False,U,Southampton,yes,True
866,1,2,female,27.0,1,0,13.8583,C,Second,woman,False,U,Cherbourg,yes,False
869,1,3,male,4.0,1,1,11.1333,S,Third,boy,False,U,Southampton,yes,False
871,1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
874,1,2,female,28.0,1,0,24.0,C,Second,woman,False,U,Cherbourg,yes,False
875,1,3,female,15.0,0,0,7.225,C,Third,girl,False,U,Cherbourg,yes,True
879,1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
880,1,2,female,25.0,0,1,26.0,S,Second,woman,False,U,Southampton,yes,False
887,1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True
889,1,1,male,26.0,0,0,30.0,C,First,man,True,C,Cherbourg,yes,True
